AC_NAME,AC_NO,reg_count,full_pay_count,part_pay_count,no_pay_count,extra_pay_count,no_install_paid,no_install_due,amount_paid,amount_due
DHARAMASALA,51,26091.0,2973.0,9323.0,2650.0,11145.0,105366.0,145746.0,210732000.0,291492000.0
DHARMGARH,79,40172.0,5241.0,7728.0,4716.0,22487.0,200956.0,233035.0,401912000.0,466070000.0
DHENKANAL,55,27226.0,3251.0,7290.0,3060.0,13625.0,123064.0,153453.0,246128000.0,306906000.0
DIGAPAHANDI,134,22409.0,3550.0,7298.0,2556.0,9005.0,101025.0,133854.0,202050000.0,267708000.0
EKAMRA-BHUBANESWAR,114,1112.0,186.0,330.0,49.0,547.0,5530.0,6684.0,11060000.0,13368000.0
G.UDAYAGIRI (ST),83,31577.0,4876.0,5384.0,1226.0,20091.0,181975.0,191674.0,363950000.0,383348000.0
GHASIPUR,21,41073.0,6608.0,10998.0,2787.0,20680.0,206575.0,241947.0,413150000.0,483894000.0
GOPALPUR,132,9536.0,1411.0,3461.0,923.0,3741.0,41971.0,55571.0,83942000.0,111142000.0
GUNUPUR (ST),138,27465.0,5486.0,9182.0,953.0,11844.0,141462.0,167165.0,282924000.0,334330000.0
HINDOL (SC),56,33123.0,3868.0,9571.0,3241.0,16443.0,149346.0,189082.0,298692000.0,378164000.0
HINJILI,131,21189.0,3726.0,7239.0,1356.0,8868.0,101365.0,128536.0,202730000.0,257072000.0
JAGATSINGHPUR,104,25751.0,3457.0,9093.0,1825.0,11376.0,117753.0,152307.0,235506000.0,304614000.0
JAJPUR,52,22508.0,2562.0,8487.0,1879.0,9580.0,93247.0,125379.0,186494000.0,250758000.0
JALESWAR,35,30117.0,5409.0,8455.0,3001.0,13252.0,143527.0,180384.0,287054000.0,360768000.0
JASHIPUR (ST),26,40213.0,6217.0,9420.0,2410.0,22166.0,209191.0,230256.0,418382000.0,460512000.0
JATANI,115,11093.0,1171.0,3527.0,1089.0,5306.0,50058.0,65374.0,100116000.0,130748000.0
JAYADEV(SC),111,18727.0,3260.0,5449.0,2729.0,7289.0,81507.0,112142.0,163014000.0,224284000.0
JEYPORE,143,13138.0,1803.0,5306.0,874.0,5155.0,58219.0,79174.0,116438000.0,158348000.0
JHARIGAM (ST),74,40480.0,3100.0,10609.0,4182.0,22589.0,187638.0,218960.0,375276000.0,437920000.0
JHARSUGUDA,7,23366.0,4892.0,5158.0,819.0,12497.0,130655.0,143551.0,261310000.0,287102000.0
JUNAGARH,78,32974.0,4978.0,8261.0,4411.0,15324.0,151571.0,195283.0,303142000.0,390566000.0
KAKATPUR (SC),105,31159.0,4517.0,10951.0,2665.0,13026.0,137794.0,185903.0,275588000.0,371806000.0
KAMAKHYANAGAR,57,25816.0,2958.0,8561.0,2158.0,12139.0,117548.0,153404.0,235096000.0,306808000.0
KANTABANJI,70,49325.0,7838.0,14514.0,3953.0,23020.0,231853.0,284698.0,463706000.0,569396000.0
KANTAMAL,85,32814.0,5359.0,6585.0,2918.0,17952.0,170294.0,194224.0,340588000.0,388448000.0
KARANJIA (ST),30,29618.0,2845.0,6322.0,2853.0,17598.0,146899.0,166743.0,293798000.0,333486000.0
KAVISURYANAGAR,125,21367.0,3090.0,6583.0,1674.0,10020.0,103079.0,127352.0,206158000.0,254704000.0
KENDRAPARA(SC),97,22642.0,3718.0,9207.0,2793.0,6924.0,93001.0,134956.0,186002000.0,269912000.0
KEONJHAR (ST),24,31094.0,7285.0,9029.0,1942.0,12838.0,155563.0,187619.0,311126000.0,375238000.0
KHALIKOTE(SC),126,19880.0,3583.0,5626.0,949.0,9722.0,101332.0,119477.0,202664000.0,238954000.0
KHANDAPADA,120,23550.0,4310.0,9038.0,2271.0,7931.0,105841.0,141425.0,211682000.0,282850000.0
KHARIAR,72,50631.0,6701.0,18809.0,3905.0,21216.0,231611.0,290078.0,463222000.0,580156000.0
KHORDHA,117,16345.0,1670.0,4789.0,1982.0,7904.0,71659.0,91269.0,143318000.0,182538000.0
KORAPUT(SC),144,17140.0,4678.0,4589.0,1079.0,6794.0,88454.0,104047.0,176908000.0,208094000.0
KOREI,53,20673.0,3219.0,7245.0,1604.0,8605.0,91909.0,121790.0,183818000.0,243580000.0
KOTPAD (ST),142,26655.0,3762.0,9259.0,2574.0,11060.0,118559.0,159600.0,237118000.0,319200000.0
KUCHINDA (ST),15,35571.0,7142.0,9211.0,1804.0,17414.0,188600.0,216134.0,377200000.0,432268000.0
LAKSHMIPUR (ST),141,26068.0,4473.0,9055.0,1587.0,10953.0,122330.0,152908.0,244660000.0,305816000.0
LANJIGARH (ST),77,24924.0,2063.0,5986.0,2301.0,14574.0,121665.0,143200.0,243330000.0,286400000.0
LOISINGHA (SC),66,45894.0,7799.0,11956.0,3751.0,22388.0,226365.0,269354.0,452730000.0,538708000.0
MAHAKALPADA,100,35707.0,4691.0,9153.0,3729.0,18134.0,169500.0,207362.0,339000000.0,414724000.0
MAHANGA,95,39944.0,6822.0,12886.0,2797.0,17439.0,190928.0,236167.0,381856000.0,472334000.0
MALKANGIRI (ST),146,36832.0,6502.0,8742.0,3481.0,18107.0,178738.0,207416.0,357476000.0,414832000.0
MOHANA (ST),136,37293.0,4582.0,9882.0,1560.0,21269.0,200848.0,222289.0,401696000.0,444578000.0
MORADA,34,37022.0,6536.0,9383.0,1562.0,19541.0,197255.0,221399.0,394510000.0,442798000.0
NABARANGPUR (ST),75,29713.0,2680.0,6906.0,3497.0,16630.0,139503.0,159650.0,279006000.0,319300000.0
NARLA,81,35636.0,6133.0,10780.0,2558.0,16165.0,168954.0,213044.0,337908000.0,426088000.0
NAYAGARH,122,22414.0,4313.0,8281.0,2176.0,7644.0,97583.0,135493.0,195166000.0,270986000.0
NIALI (SC),92,27861.0,5543.0,7894.0,2284.0,12140.0,131969.0,164133.0,263938000.0,328266000.0
NILGIRI,40,31841.0,4674.0,7621.0,2174.0,17372.0,159861.0,183615.0,319722000.0,367230000.0
