AC_NO,ac_name_geofile,AC_NAME,PC_NO,PC_NAME,pc_name_geofile
74,JHARIGAM (ST),JHARIGAM (ST),12,NABARANGPUR (ST),Nabarangpur (ST)
76,DABUGAM (ST),DABUGAM (ST),12,NABARANGPUR (ST),Nabarangpur (ST)
75,NABARANGPUR (ST),NABARANGPUR (ST),12,NABARANGPUR (ST),Nabarangpur (ST)
142,KOTPAD (ST),KOTPAD (ST),12,NABARANGPUR (ST),Nabarangpur (ST)
147,CHITRAKONDA (ST),CHITRAKONDA (ST),12,NABARANGPUR (ST),Nabarangpur (ST)
146,MALKANGIRI (ST),MALKANGIRI (ST),12,NABARANGPUR (ST),Nabarangpur (ST)
86,BOUDH,BOUDH,13,KANDHAMAL,Kandhamal
85,KANTAMAL,KANTAMAL,13,KANDHAMAL,Kandhamal
84,PHULBANI (ST),PHULBANI (ST),13,KANDHAMAL,Kandhamal
121,DASPALLA (SC),DASPALLA (SC),13,KANDHAMAL,Kandhamal
82,BALIGUDA (ST),BALIGUDA (ST),13,KANDHAMAL,Kandhamal
83,G. UDAYAGIRI (ST),G. UDAYAGIRI (ST),13,KANDHAMAL,Kandhamal
123,BHANJANAGAR,BHANJANAGAR,13,KANDHAMAL,Kandhamal
89,ATHAGARH,ATHAGARH,14,CUTTACK,Cuttack
87,BARAMBA,BARAMBA,14,CUTTACK,Cuttack
91,CHOUDWAR?CUTTACK,CHOUDWAR-CUTTACK,14,CUTTACK,Cuttack
90,BARABATI-CUTTACK,BARABATI-CUTTACK,14,CUTTACK,Cuttack
88,BANKI,BANKI,14,CUTTACK,Cuttack
120,KHANDAPADA,KHANDAPADA,14,CUTTACK,Cuttack
93,CUTTACK SADAR (SC),CUTTACK SADAR (SC),14,CUTTACK,Cuttack
98,AUL,AUL,15,KENDRAPARA,Kendrapara
99,RAJANAGAR,RAJANAGAR,15,KENDRAPARA,Kendrapara
94,SALIPUR,SALIPUR,15,KENDRAPARA,Kendrapara
97,KENDRAPARA (SC),KENDRAPARA (SC),15,KENDRAPARA,Kendrapara
95,MAHANGA,MAHANGA,15,KENDRAPARA,Kendrapara
96,PATKURA,PATKURA,15,KENDRAPARA,Kendrapara
100,MAHAKALAPADA,MAHAKALAPADA,15,KENDRAPARA,Kendrapara
102,TIRTOL (SC),TIRTOL (SC),16,JAGATSINGHPUR (SC),Jagatsinghpur (SC)
101,PARADEEP,PARADEEP,16,JAGATSINGHPUR (SC),Jagatsinghpur (SC)
92,NIALI (SC),NIALI (SC),16,JAGATSINGHPUR (SC),Jagatsinghpur (SC)
104,JAGATSINGHPUR,JAGATSINGHPUR,16,JAGATSINGHPUR (SC),Jagatsinghpur (SC)
103,BALIKUDA?ERASAMA,BALIKUDA-ERASAMA,16,JAGATSINGHPUR (SC),Jagatsinghpur (SC)
106,NIMAPARA,NIMAPARA,16,JAGATSINGHPUR (SC),Jagatsinghpur (SC)
105,KAKATPUR (SC),KAKATPUR (SC),16,JAGATSINGHPUR (SC),Jagatsinghpur (SC)
111,JAYADEV (SC),JAYADEV (SC),17,PURI,Puri
122,NAYAGARH,NAYAGARH,17,PURI,Puri
110,PIPILI,PIPILI,17,PURI,Puri
119,RANPUR,RANPUR,17,PURI,Puri
109,SATYABADI,SATYABADI,17,PURI,Puri
107,PURI,PURI,17,PURI,Puri
108,BRAHMAGIRI,BRAHMAGIRI,17,PURI,Puri
118,CHILIKA,CHILIKA,17,PURI,Puri
115,JATANI,JATANI,18,BHUBANESWAR,Bhubaneswar
113,BHUBANESWAR NORTH ,BHUBANESWAR(UTTAR),18,BHUBANESWAR,Bhubaneswar
112,BHUBANESWAR CENTRAL ,BHUBANESWAR(MADHYA),18,BHUBANESWAR,Bhubaneswar
114,EKAMRA?BHUBANESWAR,EKAMRA-BHUBANESHWAR,18,BHUBANESWAR,Bhubaneswar
116,BEGUNIA,BEGUNIA,18,BHUBANESWAR,Bhubaneswar
117,KHURDA,KHURDA,18,BHUBANESWAR,Bhubaneswar
124,POLASARA,POLASARA,19,ASKA,Aska
129,SURADA,SURADA,19,ASKA,Aska
125,KABISURYANAGAR,KABISURYANAGAR,19,ASKA,Aska
126,KHALIKOTE (SC),KHALIKOTE (SC),19,ASKA,Aska
128,ASKA,ASKA,19,ASKA,Aska
130,SANAKHEMUNDI,SANAKHEMUNDI,19,ASKA,Aska
131,HINJILI,HINJILI,19,ASKA,Aska
136,MOHANA (ST),MOHANA (ST),20,BERHAMPUR,Berhampur
127,CHHATRAPUR (SC),CHHATRAPUR (SC),20,BERHAMPUR,Berhampur
134,DIGAPAHANDI,DIGAPAHANDI,20,BERHAMPUR,Berhampur
132,GOPALPUR,GOPALPUR,20,BERHAMPUR,Berhampur
133,BERHAMPUR,BERHAMPUR,20,BERHAMPUR,Berhampur
135,CHIKITI,CHIKITI,20,BERHAMPUR,Berhampur
137,PARALAKHEMUNDI,PARALAKHEMUNDI,20,BERHAMPUR,Berhampur
139,BISSAM CUTTACK (ST),BISSAM CUTTACK (ST),21,KORAPUT (ST),Koraput (ST)
138,GUNUPUR (ST),GUNUPUR (ST),21,KORAPUT (ST),Koraput (ST)
140,RAYAGADA (ST),RAYAGADA (ST),21,KORAPUT (ST),Koraput (ST)
141,LAKSHMIPUR (ST),LAKSHMIPUR (ST),21,KORAPUT (ST),Koraput (ST)
143,JEYPORE,JEYPORE,21,KORAPUT (ST),Koraput (ST)
144,KORAPUT (SC),KORAPUT (SC),21,KORAPUT (ST),Koraput (ST)
145,POTTANGI (ST),POTTANGI (ST),21,KORAPUT (ST),Koraput (ST)
