OBJECTID_1,OBJECTID,S_CODE,S_NAME,D_CODE,D_NAME,AC_NAME,PC_NO,PC_NAME,AC_NO,Shape_Length,Shape_Area
"48","49","21",ODISHA,"379",KENDRAPARA,AUL,"15",KENDRAPARA,"98",1.49746631317681,0.0422817037254436
"49","50","21",ODISHA,"379",KENDRAPARA,KENDRAPARA(SC),"15",KENDRAPARA,"97",1.30355664982435,0.0297071315482739
"50","51","21",ODISHA,"379",KENDRAPARA,MAHAKALPADA,"15",KENDRAPARA,"100",2.20025052407253,0.0542097191608922
"51","52","21",ODISHA,"379",KENDRAPARA,PATKURA,"15",KENDRAPARA,"96",1.6308894711859,0.0310149436108482
"52","53","21",ODISHA,"379",KENDRAPARA,RAJNAGAR,"15",KENDRAPARA,"99",1.80355832897091,0.0639471974842987
"53","54","21",ODISHA,"380",JAGATSINGHPUR,BALIKUDA-ERASAMA,"16",JAGATSINGHPUR (SC),"103",1.75196865933123,0.0593792019372189
"54","55","21",ODISHA,"380",JAGATSINGHPUR,JAGATSINGHPUR,"16",JAGATSINGHPUR (SC),"104",1.29286052417063,0.0264856470443795
"55","56","21",ODISHA,"380",JAGATSINGHPUR,PARADEEP,"16",JAGATSINGHPUR (SC),"101",1.34125576174146,0.0292429233397859
"56","57","21",ODISHA,"380",JAGATSINGHPUR,TIRTOL (SC),"16",JAGATSINGHPUR (SC),"102",1.63317455256481,0.0341836243703508
"57","58","21",ODISHA,"381",CUTTACK,ATHAGARH,"14",CUTTACK,"89",1.97662862780439,0.0549433551284729
"58","59","21",ODISHA,"381",CUTTACK,BANKI,"14",CUTTACK,"88",1.9337997417687,0.0507026547266818
"59","60","21",ODISHA,"381",CUTTACK,BARABATI-CUTTACK,"14",CUTTACK,"90",0.752903848140375,0.0112117003829374
"60","61","21",ODISHA,"381",CUTTACK,BARAMBA,"14",CUTTACK,"87",1.62939979348551,0.0829189310310768
"61","62","21",ODISHA,"381",CUTTACK,CHOUDWAR-CUTTACK,"14",CUTTACK,"91",0.506627088312794,0.00760163666785292
"62","63","21",ODISHA,"381",CUTTACK,CUTTACK SADAR (SC),"14",CUTTACK,"93",1.51405728821221,0.0231786564132743
"63","64","21",ODISHA,"381",CUTTACK,MAHANGA,"15",KENDRAPARA,"95",1.32831530162619,0.0289711028262911
"64","65","21",ODISHA,"381",CUTTACK,NIALI (SC),"16",JAGATSINGHPUR (SC),"92",1.33722033399507,0.0336968894564335
"65","66","21",ODISHA,"381",CUTTACK,SALIPUR,"15",KENDRAPARA,"94",1.49115390871124,0.0364257167048557
"66","67","21",ODISHA,"382",JAJAPUR,BARACHANA,"8",JAJPUR (SC),"50",1.43140092685195,0.0328164012291976
"67","68","21",ODISHA,"382",JAJAPUR,BARI,"8",JAJPUR (SC),"49",1.32261051342216,0.0238005659483735
"68","69","21",ODISHA,"382",JAJAPUR,BINJHARPUR(SC),"8",JAJPUR (SC),"48",1.26109649655458,0.0269499486533649
